null,weekday,day,month,eventname,time,location,metadate
,SAT,20,May,The Red Baron,5pm - 9pm,"The Red Baron | Edgerton, WI",2023-05-20 17:00
,SUN,21,May,The Island Bar,2pm - 6pm,"The Island Bar | Fort Atkinson, WI",2023-05-21 14:00
,FRI,26,May,Anchor Bar & Grill,7pm - 11pm,"Anchor Bar & Grill | Edgerton, WI",2023-05-26 19:00
,SUN,11,June,The Island Bar,2pm - 6pm,"The Island Bar | Fort Atkinson, WI",2023-06-11 14:00
,WED,14,June,Concert in the Park,6:30pm - 8pm,"Central Park | Edgerton, WI",2023-06-14 16:30
,SUN,25,June,The Red Baron,3pm - 7pm,"The Red Baron | Edgerton, WI",2023-06-25 15:00
,SUN,2,July,Wet Bottoms Bar & BBQ,2pm - 6pm,"Wet Bottoms Bar & BBQ | Edgerton, WI",2023-07-02 14:00
,SAT,22,July,The Island Bar,3pm - 7pm,"The Island Bar | Fort Atkinson, WI",2023-07-22 15:00
,SAT,29,July,The Red Baron,6pm - 10pm,"The Red Baron | Edgerton, WI",2023-07-29 18:00
,SUN,13,August,Wet Bottoms Bar & BBQ,2pm - 6pm,"Wet Bottoms Bar & BBQ | Edgerton, WI",2023-08-13 14:00
,SAT,19,August,The Island Bar,2pm - 6pm,"The Island Bar | Fort Atkinson, WI",2023-08-19 14:00
